record_id,speciesname,latitude,longitude,recordedby,datefound,determinedby,lifestage,sex,notes,rights,rightsholder,sourcelink
AMNH_BEE00145081,Melissodes agilis,39.53472,-107.7825,,1919-07-21,J. S. Ascher,Adult,Female,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00145081
AMNH_BEE00177364,Melissodes agilis,31.71682,-108.82203,"J. S. Ascher, J. G. Rozen, E. S. Wyman",2011-08-20,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00177364
AMNH_BEE00081704,Melissodes agilis,44.09599,-69.37846,J. H. Lovell,1905-08-11,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00081704
AMNH_BEE00081698,Melissodes agilis,40.89083,-74.505,M. A. Cazier,1933-08-10,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00081698
AMNH_BEE00145143,Helianthus annuus,42.19888,-121.40611,J. Schuh,1963-08-15,W. E. LaBerge,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00145143
AMNH_BEE00081712,Melissodes agilis,27.0333,-105.21666,G. M. Bradt,1947-08-20,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00081712
AMNH_BEE00145073,Melissodes agilis,35.04222,-117.66667,W. M. Wheeler,1917-08-19,W. E. LaBerge,Adult,Female,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00145073
AMNH_BEE00237693,Melissodes agilis,41.22306,-111.97306,,1916-08-30,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00237693
AMNH_BEE00237700,Helianthus,40.9667,-97.2083,E. M. Stevens,1920-08-21,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00237700
AMNH_BEE00137537,Helianthus x laetiflorus,46.5858,-97.4908,O. A. Stevens,1916-08-14,W. E. LaBerge,Adult,Female,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00137537
AMNH_BEE00145085,Melissodes agilis,31.18777,-89.19916,C. D. Michener,1944-09-20,W. E. LaBerge,Adult,Female,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00145085
AMNH_BEE00237680,Melissodes agilis,42.1656,-88.2942,,1895-07-17,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00237680
AMNH_BEE00145082,Helianthus annuus,26.5,-101.3,C. D. Michener,1947-08-20,J. S. Ascher,Adult,Female,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00145082
AMNH_BEE00237671,Helianthus petiolaris,46.87917,-102.78917,C. H. Waldron,1912-07-28,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00237671
AMNH_BEE00081707,Melissodes agilis,49.78594,-112.14833,,1949-08-12,J. S. Ascher,Adult,Male,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEE00081707
