Name In Literature,Interpreted/Updated name,Literature
Aster novaeangliae,Symphyotrichum novae-angliae,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Brauneria purpurea,Echinacea purpurea,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Carduus crispus,Carduus crispus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cassia sp.,Cassia sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Centaurea sp.,Centaurea sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Centaurea jacea,Centaurea jacea,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium sp.,Cirsium sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium altissimum,Cirsium altissimum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium discolor,Cirsium discolor,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium hillii,Cirsium pumilum var. hillii,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium odoratus,Cirsium pumilum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium pumilum,Cirsium pumilum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium undulatum,Cirsium undulatum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium vulgare,Cirsium vulgare,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Coreopsis aristosa,Bidens aristosa,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cosmos bipinnatus,Cosmos bipinnatus,"Seitz, N., vanEngelsdorp, D. and Leonhardt, S.D. (2020) ‘Are native and non‐native pollinator friendly plants equally valuable for native wild bee communities?’, Ecology and Evolution, 10(23), pp. 12838–12850. doi:10.1002/ece3.6826. "
Daucus carota,Daucus carota,"Seitz, N., vanEngelsdorp, D. and Leonhardt, S.D. (2020) ‘Are native and non‐native pollinator friendly plants equally valuable for native wild bee communities?’, Ecology and Evolution, 10(23), pp. 12838–12850. doi:10.1002/ece3.6826. "
Helianthus annuus,Helianthus annuus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Helianthus grosseserratus,Helianthus grosseserratus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Inula helenium,Inula helenium,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Penstemon cyananthus,Penstemon cyananthus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Monarda fistulosa,Monarda fistulosa,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Pontederia cordata,Pontederia cordata,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Pycnanethemum sp.,Pycnanthemum sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Rudbeckia laciniata,Rudbeckia laciniata,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Silphium perfoliatum,Silphium perfoliatum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Solidago sp.,Solidago sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Solidago canadensis,Solidago canadensis,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Solidago puberula,Solidago puberula,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Verbena sp.,Verbena sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Verbena stricta,Verbena stricta,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
