Name In Literature,Interpreted/Updated name,Literature
Apocynum sp.,Apocynum sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Asclepias sp,Asclepias sp,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Aster,Aster sp.,"Bohart, George E. and Knowlton, G. F., ""The Bees of Curlew Valley (Utah and Idaho)"" (1973). All PIRU Publications. Paper 790. https://digitalcommons.usu.edu/piru_pubs/790"
Carduus aculescens,Carduus sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Centaurea americana,Plectocephalus americanus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsuim sp.,Cirsium sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium arvense,Cirsium arvense,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium brevifolium,Cirsium brevifolium,"Hawse, A.R. (2024) Patterns of Bee Diversity and Plant-Pollinator Interactions in the Palouse Prairie. thesis. University of Idaho . "
Cirsium douglasii,Cirsium douglasii,"Lopez, C. (2017) THE BEE FAUNA OF THE HORSE MOUTAIN AND GROUSE MOUNTAIN REGION, HUMBOLDT COUNTY, CALIFORNIA. thesis. Humboldt State University. "
Cirsium lanceolatum,Cirsium vulgare,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
